,发布日期,发布时间,新闻标题,新闻来源,关键词,风险类型
153,20190221,2019-02-21 17:41:11,山东金茂纺织化工集团有限公司2014年度第一期中期票据未按期足额兑付本息的公告,中国货币网,,
154,20190221,2019-02-21 18:50:28,"关于未收到""14鲁金茂MTN001""付息兑付资金的通知(清算所发〔2019〕33号)",上海清算所,,
155,20190225,2019-02-25 14:24:44,新世纪评级关于关注山东金茂纺织化工集团有限公司2014年度第一期中期票据未按期足额兑付本息的公告的公告,中国货币网,,
156,20190221,2019-02-21 21:09:00,上清所：未收到“14鲁金茂MTN001”付息兑付资金,中证网,,
157,20190224,2019-02-24 22:41:00,又一山东百强民企债券违约：10亿票据未按期兑付,票友—票据圈儿那些事,,
158,20190225,2019-02-25 17:34:48,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司2014年度第一期中期票据未按期足额兑付本息的公告,上海清算所,,
159,20190222,2019-02-22 10:42:00,182亿山东纺化巨头破产：负债50亿，互保16亿，列制造业500强,搜狐财经,,
160,20190222,2019-02-22 18:40:00,山东百亿民企倒下，新增10亿违约，背后原因让人唏嘘,债市观察,,
161,20190305,2019-03-05 09:50:06,山东金茂纺织化工集团有限公司关于公司债券停牌进展的公告,上海交易所,,
162,20190225,2019-02-25 04:06:00,企业倒闭破产潮起，山东经济遭遇重创，能否破茧化蝶！,地理知识局公众号,,
163,20190312,2019-03-12 13:08:08,信用违约方兴未艾 警惕“爆雷”规避有方,金融界,,
164,20190226,2019-02-26 00:02:00,山东两大民营500强集团竟同时申请破产，过万员工将面临裁员失业,企业系统智慧公众号,,
165,20190303,2019-03-03 16:02:00,前景堪忧！山东4家“500强”化企遭遇危机！担保圈崩塌，破产风波再度来袭？,化工707,,
166,20190319,2019-03-19 21:32:00,又一家中国500强破产，负债高达156亿，32年老牌企业依旧没挺过去,今日头条,,
167,20190319,2019-03-19 15:52:55,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年2月1日-2019年2月28日),中国货币网,,
168,20190319,2019-03-19 14:49:24,山东金茂纺织化工集团有限公司关于“14鲁金茂MTN001”有关事项进展情况的公告(2019年2月1日-2019年2月28日),中国货币网,,
169,20190325,2019-03-25 18:02:00,32年老牌企业最终还是破产了，什么原因让这家500强企业倒下的？,今日头条,,
170,20190320,2019-03-20 23:51:00,又一家500强民企挂了！多米诺骨牌效应仍在持续发酵！,商业汇评,,
171,20180626,2018-06-26 14:57:33,16金茂01（136231）14时57分发生一笔价格异动,财汇AI数据研究院,,
172,20180712,2018-07-12 14:52:56,16金茂01（136231）14时52分发生一笔价格异动,财汇AI数据研究院,,
173,20180703,2018-07-03 10:05:38,15金茂债（122482）10时05分发生一笔价格异动,财汇AI数据研究院,,
174,20180605,2018-06-05 14:03:56,15金茂债（122482）14时03分发生一笔价格异动,财汇AI数据研究院,,
175,20180611,2018-06-11 14:02:19,14鲁金茂MTN001（101464003）14时02分发生一笔价格异动,财汇AI数据研究院,,
176,20180711,2018-07-11 11:14:54,15金茂债（122482）11时14分发生一笔价格异动,财汇AI数据研究院,,
